epoch,sample_number,num_actions,loss,reward
0.0,1.0,65.0,25415.041015625,0.0027013630606234074
0.0,2.0,18.0,25415.041015625,0.0008389368304051459
0.0,3.0,78.0,25415.041015625,0.0029568311292678118
1.0,1.0,28.0,9077.759765625,0.0007903471705503762
1.0,2.0,76.0,9077.759765625,0.0029615426901727915
1.0,3.0,33.0,9077.759765625,0.0014625551411882043
2.0,1.0,58.0,2900.261474609375,0.0018911170773208141
2.0,2.0,87.0,2900.261474609375,0.0027786672580987215
2.0,3.0,54.0,2900.261474609375,0.002145652426406741
3.0,1.0,29.0,4045.440673828125,0.0034846647176891565
3.0,2.0,21.0,4045.440673828125,0.002946181921288371
3.0,3.0,6.0,4045.440673828125,0.0015120608732104301
4.0,1.0,35.0,30305.84375,0.0014128639595583081
4.0,2.0,3.0,30305.84375,0.00033162726322188973
4.0,3.0,75.0,30305.84375,0.003016000147908926
5.0,1.0,8.0,5818.33056640625,0.0
5.0,2.0,34.0,5818.33056640625,0.0041097174398601055
5.0,3.0,28.0,5818.33056640625,0.0026903683319687843
6.0,1.0,79.0,1475.0264892578125,0.002792967949062586
6.0,2.0,79.0,1475.0264892578125,0.002989727770909667
6.0,3.0,62.0,1475.0264892578125,0.0024340518284589052
7.0,1.0,72.0,3766.660400390625,0.003064502961933613
7.0,2.0,41.0,3766.660400390625,0.001190728391520679
7.0,3.0,43.0,3766.660400390625,0.0018229377456009388
8.0,1.0,15.0,19702.0859375,0.0010027136886492372
8.0,2.0,50.0,19702.0859375,0.0014044278068467975
8.0,3.0,69.0,19702.0859375,0.0027672313153743744
9.0,1.0,47.0,7311.34228515625,0.0017381806392222643
9.0,2.0,89.0,7311.34228515625,0.0027786472346633673
9.0,3.0,74.0,7311.34228515625,0.0025913813151419163
10.0,1.0,79.0,3790.588134765625,0.002792967949062586
10.0,2.0,45.0,3790.588134765625,0.0014279066817834973
10.0,3.0,52.0,3790.588134765625,0.0023831897415220737
11.0,1.0,49.0,2361.10888671875,0.002062639221549034
11.0,2.0,56.0,2361.10888671875,0.0023981838021427393
11.0,3.0,75.0,2361.10888671875,0.00309007428586483
12.0,1.0,52.0,9952.66796875,0.0014775891322642565
12.0,2.0,35.0,9952.66796875,0.0014053501654416323
12.0,3.0,87.0,9952.66796875,0.0027277141343802214
13.0,1.0,49.0,4893.1455078125,0.003471076488494873
13.0,2.0,28.0,4893.1455078125,0.0018655001185834408
13.0,3.0,19.0,4893.1455078125,0.0016744734020903707
14.0,1.0,65.0,13343.6865234375,0.001739108469337225
14.0,2.0,86.0,13343.6865234375,0.0026948321610689163
14.0,3.0,34.0,13343.6865234375,0.0005341776413843036
15.0,1.0,81.0,30076.380859375,0.002847320167347789
15.0,2.0,49.0,30076.380859375,0.0023810674902051687
15.0,3.0,10.0,30076.380859375,0.0007082012598402798
16.0,1.0,70.0,57.56560134887695,0.0028869458474218845
16.0,2.0,70.0,57.56560134887695,0.003294756170362234
16.0,3.0,66.0,57.56560134887695,0.0026667406782507896
17.0,1.0,75.0,823.323486328125,0.002852881792932749
17.0,2.0,59.0,823.323486328125,0.002065155887976289
17.0,3.0,65.0,823.323486328125,0.0028678521048277617
18.0,1.0,60.0,11222.6787109375,0.003090325277298689
18.0,2.0,15.0,11222.6787109375,0.00037037269794382155
18.0,3.0,33.0,11222.6787109375,0.0020813881419599056
19.0,1.0,90.0,14952.7939453125,0.0026860448997467756
19.0,2.0,33.0,14952.7939453125,0.0012391196796670556
19.0,3.0,24.0,14952.7939453125,0.001076117274351418
20.0,1.0,12.0,6384.27001953125,0.00041667275945656
20.0,2.0,6.0,6384.27001953125,0.0006218028720468283
20.0,3.0,40.0,6384.27001953125,0.002251601777970791
21.0,1.0,9.0,34296.73046875,0.0
